Year,Y,X1,X2
1997,0.831,28.941,10.9
1998,0.837,26.171,10.9
1999,0.843,26.318,10.9
2000,0.849,20.629,10.9
2001,0.852,18.009,10.9
2002,0.856,18.935,12.1
2003,0.859,17.25,12.2
2004,0.862,19.758,12.2
2005,0.866,20.279,12.2
2006,0.869,21.328,12.2
2007,0.872,18.831,18.2
2008,0.875,18.326,18.2
2009,0.879,22.945,18.9
2010,0.882,22.55,18.9
2011,0.884,21.936,18.9
2012,0.886,23.651,26.9
2013,0.889,24.055,26.9
2014,0.894,24.22,26.2
2015,0.898,24.671,26.2
2016,0.899,24.616,26.2
2017,0.901,22.293,39
